KAPT_CODE,ADDR,CONVENIENT_FACILITY,EDUCATION_FACILITY,park,subway
A13593901,서울특별시 강남구 개포동 12-2 엘지개포자이,3,3,502,1
A13593908,서울특별시 강남구 개포동 12 대치아파트,5,4,0,1
A13524006,서울특별시 강남구 개포동 654 개포2차현대아파트,5,3,500,1
A13580602,서울특별시 강남구 개포동 649 경남아파트,7,5,1126,2
A13524009,"서울특별시 강남구 개포동 12 대치,대청 아파트",2,0,511,1
A13580801,서울특별시 강남구 개포동 656 개포시영,0,0,1160,0
A13524004,서울특별시 강남구 개포동 652 우성아파트,5,3,419,2
A13580002,서울특별시 강남구 개포동 179 개포8차우성아파트,4,4,138,1
A13580601,서울특별시 강남구 개포동 651-1 우성9차아파트901동,5,3,122,2
A13580204,서울특별시 강남구 개포동 140 개포동주공아파트,4,6,868,2
A13580103,서울특별시 강남구 개포동 138 개포주공 2~7단지,5,6,722,1
A13580003,서울특별시 강남구 개포동 189 개포주공 2~7단지,5,5,1850,1
A13599402,서울특별시 강남구 개포동 187 개포주공 2~7단지,6,5,652,1
A13599303,서울특별시 강남구 개포동 185 개포주공 2~7단지,6,5,1100,1
A13599301,서울특별시 강남구 개포동 185 개포주공7단지,7,6,1100,1
A13524005,서울특별시 강남구 개포동 653 현대아파트101동,5,3,453,2
A13580001,서울특별시 강남구 개포동 177 현대아파트,4,5,330,1
A13594007,서울특별시 강남구 개포동 12 대청아파트,7,4,330,2
A10025203,서울특별시 강남구 개포동 138 디에이치 아너힐즈,5,4,2103,1
A10025675,서울특별시 강남구 개포동 1280 래미안블레스티지,4,3,3153,2
A13583301,서울특별시 강남구 논현동 275 논현동동부센트레빌,0,0,239,2
A13582002,서울특별시 강남구 논현동 105 동현아파트,0,0,580,1
A13501004,서울특별시 강남구 논현동 22 논현아파트,3,3,684,1
A13501001,서울특별시 강남구 논현동 245 논현동동양파라곤,4,3,572,2
A13572601,서울특별시 강남구 논현동 122-8 동화상가,1,1,189,1
A13501002,서울특별시 강남구 논현동 58-2 마일스디오빌,3,2,200,1
A13501006,서울특별시 강남구 논현동 276,12,8,645,2
A13528105,서울특별시 강남구 대치동 503 개포1차우성아파트,1,3,1230,2
A10026924,서울특별시 강남구 대치동 0 대치SK VIEW,4,3,411,1
A13528101,서울특별시 강남구 대치동 612 국제아파트,5,3,224,1
A13528001,서울특별시 강남구 대치동 891-23 대치동대우아이빌명문가,3,3,210,1
