,KAPT_CODE,CONVENIENT_FACILITY,EDUCATION_FACILITY,KAPTD_PCNT,KAPTD_PCNTU,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,SUBWAY_LINE,SUBWAY_STATION,KAPTDA_CNT1,KAPTDA_CNT2,KAPTDA_CNT3,KAPTDA_CNT4
0,A13593901,관공서(수서경찰서) 병원(삼성의료원) 공원(한마음공원),초등학교(대진) 중학교(중동중학교) 고등학교(중동고등학교),19,483,5분이내,5~10분이내,3호선,대청,0,0,84,128
1,A13593908,"관공서(수서경찰서) 병원(삼성의료원) 백화점(롯데백화점,현대백화점) 공원(한마음공원)","초등학교(대진,양천) 중학교(개원) 고등학교(경기여고)",0,0,5분이내,5분이내,중앙선,대모산,1623,0,0,0
2,A13524006,"관공서(개포4동사무소) 병원(삼성의료원,영동세브란스) 백화점(롯데백화점) 공원(달터공원)",초등학교(구룡) 중학교(구룡) 고등학교(개포),500,0,5~10분이내,10~15분이내,3호선,매봉,0,112,230,216
3,A13580602,"관공서(개포치안센터, 개포119안전센터) 병원(연세대학교강남세브란스병원) 백화점(롯데백화점) 대형상가(하나로마트) 공원(달터공원) 기타(개포도서관)","초등학교(개원,구룡,개일초) 중학교(구룡중) 고등학교(개포고)",1126,0,5분이내,5~10분이내,"3호선, 분당선",구룡,0,3,387,288
4,A13524009,"관공서(일원동 사무소, 수서경찰서)",-,438,73,5분이내,5~10분이내,3호선,-,1753,0,0,0
5,A13580801,-,-,1160,0,5분이내,-,-,-,1970,0,0,0
6,A13524004,"관공서(개포1동사무소) 병원(삼성의료원,영동세브란스) 백화점(롯데백화점) 공원(개포까치공원)",초등학교(개일) 중학교(구룡) 고등학교(개포),419,0,5~10분이내,5~10분이내,"3호선, 분당선",도곡 구룡,0,0,285,120
7,A13580002,병원(삼성서울병원(차량 10분)) 백화점(롯데백화점(강남점)) 대형상가(개포5단지상업시설(상가)) 공원(개포서근린공원(바로 옆)),"초등학교(구룡초) 중학교(구룡중) 고등학교(개포고,경기여고)",138,0,5분이내,5분이내,분당선,"개포동역,구룡역",0,261,0,0
8,A13580601,"관공서(개포1동사무소) 병원(삼성의료원,영동세브란스) 백화점(롯데백화점) 공원(달터공원)",초등학교(개일) 중학교(구룡) 고등학교(개포),106,16,5~10분이내,5~10분이내,"3호선, 분당선",도곡,0,232,0,0
9,A13580204,병원(삼성의료원) 백화점(롯데백화점) 공원(개포공원) 기타(서울시립도서관),"초등학교(개일,개원) 중학교(구룡) 고등학교(개포,경기여고교,수도공고)",868,0,5~10분이내,10~15분이내,"3호선, 분당선","도곡, 개포동",660,740,0,0
10,A13580103,"병원(삼성의료원, 영동세브란스) 백화점(롯데백화점) 공원(개포공원) 기타(서울시립도서관)","초등학교(개포,양천) 중학교(개원,구룡) 고등학교(수도공고,경기여고)",722,0,5~10분이내,5~10분이내,중앙선,개포동,1160,0,0,0
11,A13580003,"관공서(수서경찰서) 병원(삼성의료원) 백화점(롯데백화점,현대백화점) 공원(개포어린이공원)","초등학교(양천,개포) 중학교(개원) 고등학교(수도공고,경기여고)",1850,0,5~10분이내,5~10분이내,중앙선,"대모산,개포동",2840,0,0,0
12,A13599402,"관공서(수서경찰서) 병원(삼성의료원) 백화점(롯데백화점,현대백화점) 대형상가(LG하이프라자) 공원(근린공원)","초등학교(양천,개포) 중학교(개원) 고등학교(수도공고,경기여고)",652,0,5~10분이내,5~10분이내,분당선,개포동역,190,750,0,0
