,KAPT_CODE,ADDR,KAPTDA_CNT1,KAPTDA_CNT2,KAPTDA_CNT3,KAPTDA_CNT4
0,A13593901,서울특별시 강남구 개포동 12-2 엘지개포자이,0,0,84,128
1,A13593908,서울특별시 강남구 개포동 12 대치아파트,1623,0,0,0
2,A13524006,서울특별시 강남구 개포동 654 개포2차현대아파트,0,112,230,216
3,A13580602,서울특별시 강남구 개포동 649 경남아파트,0,3,387,288
4,A13524009,"서울특별시 강남구 개포동 12 대치,대청 아파트",1753,0,0,0
5,A13580801,서울특별시 강남구 개포동 656 개포시영,1970,0,0,0
6,A13524004,서울특별시 강남구 개포동 652 우성아파트,0,0,285,120
7,A13580002,서울특별시 강남구 개포동 179 개포8차우성아파트,0,261,0,0
8,A13580601,서울특별시 강남구 개포동 651-1 우성9차아파트901동,0,232,0,0
9,A13580204,서울특별시 강남구 개포동 140 개포동주공아파트,660,740,0,0
10,A13580103,서울특별시 강남구 개포동 138 개포주공 2~7단지,1160,0,0,0
11,A13580003,서울특별시 강남구 개포동 189 개포주공 2~7단지,2840,0,0,0
12,A13599402,서울특별시 강남구 개포동 187 개포주공 2~7단지,190,750,0,0
13,A13599303,서울특별시 강남구 개포동 185 개포주공 2~7단지,220,840,0,0
14,A13599301,서울특별시 강남구 개포동 185 개포주공7단지,180,720,0,0
15,A13524005,서울특별시 강남구 개포동 653 현대아파트101동,0,0,208,208
16,A13580001,서울특별시 강남구 개포동 177 현대아파트,0,54,36,108
17,A13594007,서울특별시 강남구 개포동 12 대청아파트,822,0,0,0
18,A10025203,서울특별시 강남구 개포동 138 디에이치 아너힐즈,426,629,261,4
19,A10025675,서울특별시 강남구 개포동 1280 래미안블레스티지,661,780,511,5
20,A13583301,서울특별시 강남구 논현동 275 논현동동부센트레빌,0,76,84,0
21,A13582002,서울특별시 강남구 논현동 105 동현아파트,0,380,120,48
22,A13501004,서울특별시 강남구 논현동 22 논현아파트,273,219,152,0
23,A13501001,서울특별시 강남구 논현동 245 논현동동양파라곤,0,0,0,203
24,A13572601,서울특별시 강남구 논현동 122-8 동화상가,236,0,0,0
25,A13501002,서울특별시 강남구 논현동 58-2 마일스디오빌,260,0,0,0
26,A13501006,서울특별시 강남구 논현동 276 ,34,222,112,0
27,A13528105,서울특별시 강남구 대치동 503 개포1차우성아파트,0,330,600,210
28,A10026924,서울특별시 강남구 대치동 0 대치SK VIEW,4,104,131,0
29,A13528101,서울특별시 강남구 대치동 612 국제아파트,0,140,60,0
30,A13528001,서울특별시 강남구 대치동 891-23 대치동대우아이빌명문가,210,0,0,0
31,A13528103,서울특별시 강남구 대치동 670 동부센트레빌,0,0,198,607
32,A13528004,서울특별시 강남구 대치동 511 미도맨션,0,616,1344,476
33,A13528003,서울특별시 강남구 대치동 1014-3 대치삼성아파트,249,192,519,0
34,A13583604,서울특별시 강남구 대치동 506 선경아파트,0,260,348,426
35,A13583402,서울특별시 강남구 대치동 65 쌍용대치아파트,0,140,224,0
36,A13528102,서울특별시 강남구 대치동 888 대치아이파크,150,238,236,144
37,A13583403,서울특별시 강남구 대치동 63 대치우성1차아파트 관리사무소,0,224,252,0
38,A13584101,서울특별시 강남구 대치동 902 포스코더샵,0,0,0,276
39,A13583701,서울특별시 강남구 대치동 974 대치현대아파트,286,203,141,0
40,A10027800,서울특별시 강남구 대치동 633 633,54,447,1011,96
41,A13528007,서울특별시 강남구 대치동 985 래미안 대치 하이스턴,0,0,354,0
42,A13583404,서울특별시 강남구 대치동 66 쌍용대치1차 아파트,0,270,240,120
43,A13583507,서울특별시 강남구 대치동 316 은마아파트,0,4424,0,0
44,A13528005,서울특별시 강남구 대치동 891-6 테헤란로대우아이빌,344,28,0,0
45,A13527018,서울특별시 강남구 도곡동 953-1 양재SK허브프리모,67,109,0,0
46,A13527013,서울특별시 강남구 도곡동 465 개포4차우성아파트,0,99,144,216
47,A13585401,서울특별시 강남구 도곡동 463-1 개포5차우성아파트,0,180,0,0
48,A13527007,서울특별시 강남구 도곡동 543-7 도곡1차I'PARK,0,123,198,0
49,A13527016,서울특별시 강남구 도곡동 464 개포한신아파트,404,216,0,0
50,A13527008,서울특별시 강남구 도곡동 967 경남아파트,120,192,36,0
51,A13586101,서울특별시 강남구 도곡동 960 대림아파트,0,197,0,0
52,A13527014,서울특별시 강남구 도곡동 467-6 대림아크로빌,4,6,174,306
53,A13527001,서울특별시 강남구 도곡동 952 대우양재디오빌,155,0,0,0
54,A13527203,서울특별시 강남구 도곡동 527 도곡렉슬아파트,601,936,1402,63
55,A13527004,서울특별시 강남구 도곡동 161 삼성아파트,115,116,0,0
56,A13550502,서울특별시 강남구 도곡동 91-5 도곡동삼성래미안아파트,144,192,396,0
57,A13527019,서울특별시 강남구 도곡동 902-8 ,0,48,288,48
58,A13550403,서울특별시 강남구 도곡동 895-8 도곡한신아파트,65,266,90,0
59,A13586102,서울특별시 강남구 도곡동 961 현대아파트2동(125세대),0,211,0,0
