city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,151.999,200601,26,"150,000",41,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,243.934,200601,31,"345,000",46,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,151.999,200602,7,"150,000",18,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,162.419,200603,4,"212,000",36,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,151.189,200603,18,"165,000",28,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,151.999,200604,3,"166,000",34,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,176.034,200606,12,"180,000",26,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,150.689,200607,5,"160,000",38,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,150.689,200609,14,"162,500",24,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,151.999,200610,4,"150,000",3,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,176.034,200610,25,"209,500",14,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,176.034,200610,27,"193,500",13,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,150.689,200611,1,"171,000",38,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,150.689,200611,10,"175,500",38,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,84.445,200611,30,"89,000",33,2005,올림픽로 212
서울특별시 송파구 잠실동,40,0040,0000,갤러리아팰리스,123.291,200612,11,"150,000",32,2005,올림픽로 212
서울특별시 송파구 잠실동,307-2,0307,0002,신동아빌라트,132.12,200610,1,"61,000",7,1993,백제고분로12길 27
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,134.485,200601,10,"173,500",13,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200601,13,"140,000",12,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200601,26,"117,500",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,178.325,200602,8,"210,000",18,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200602,22,"187,800",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200602,24,"126,000",4,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200603,4,"183,000",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200603,7,"190,000",6,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,178.325,200603,9,"240,000",11,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,178.325,200603,13,"225,000",15,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200603,14,"200,000",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200603,20,"120,500",1,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200603,27,"134,000",4,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,134.485,200603,29,"194,000",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,134.485,200605,1,"215,000",8,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200605,15,"238,000",7,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200608,30,"150,000",14,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,178.325,200609,27,"290,000",17,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200609,27,"157,000",16,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,178.325,200609,28,"269,000",7,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200610,14,"138,000",3,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200610,16,"195,000",1,1986,올림픽로4길 15
